,borough,geographical,admin_district,ats_code,location_name,grade_level,building_code,building_name,address,building_ownership,room_no,area,function,is_school_co_located,inside_v_outside,is_the_space_shared,space_used_for_any
176,M,2,2,02M225,Ella Baker School,K-8,M480,Julia Richman Ed. Complex - M,317 East 67 Street,DOE Owned,2FL GYM,7740.0,Gymnasium,true,Inside,true,False
177,M,2,2,02M225,Ella Baker School,K-8,M480,Julia Richman Ed. Complex - M,317 East 67 Street,DOE Owned,318,903.0,Dance Room,true,Inside,true,False
178,M,2,2,02M225,Ella Baker School,K-8,M480,Julia Richman Ed. Complex - M,317 East 67 Street,DOE Owned,3FL GYM,7740.0,Gymnasium,true,Inside,true,False
179,M,2,2,02M225,Ella Baker School,K-8,M480,Julia Richman Ed. Complex - M,317 East 67 Street,DOE Owned,505,836.0,Dance Room,true,Inside,true,False
180,M,2,2,02M225,Ella Baker School,K-8,M480,Julia Richman Ed. Complex - M,317 East 67 Street,DOE Owned,641,1104.0,Dance Room,true,Inside,true,False
181,M,2,2,02M225,Ella Baker School,K-8,M480,Julia Richman Ed. Complex - M,317 East 67 Street,DOE Owned,643,420.0,Dance Room,true,Inside,true,False
182,M,2,2,02M225,Ella Baker School,K-8,M480,Julia Richman Ed. Complex - M,317 East 67 Street,DOE Owned,BALCGYM,900.0,Gymnasium,true,Inside,true,False
183,M,2,2,02M225,Ella Baker School,K-8,M480,Julia Richman Ed. Complex - M,317 East 67 Street,DOE Owned,POOL,5135.0,Swimming Pool,true,Inside,true,False
184,M,2,2,02M234,P.S. 234 Independence School,Elementary,M234,P.S. 234 - Manhattan,292 Greenwich Street,DOE Owned,106,2494.0,Gymnasium,false,Inside,false,False
185,M,2,2,02M234,P.S. 234 Independence School,Elementary,M234,P.S. 234 - Manhattan,292 Greenwich Street,DOE Owned,Outdoor Yard 1,9978.0,Outdoor Yard,false,Outdoor,false,False
186,M,2,2,02M234,P.S. 234 Independence School,Elementary,M234,P.S. 234 - Manhattan,292 Greenwich Street,DOE Owned,Outdoor Yard 2,5949.0,Outdoor Yard,false,Outdoor,false,False
