,bn,school_year,start_date,overall_rating,indicator_1_1,indicator_1_2,indicator_1_3,indicator_1_4,indicator_1_5,indicator_1_6,indicator_1_7,indicatoroverall_1,indicator_2_1,indicator_2_2,indicator_2_3,indicator_2_4,indicator_2_5,indicator_2_6,indicator_2_7,indicatoroverall_2,indicator_3_1,indicator_3_2,indicator_3_3,indicator_3_4,indicator_3_5,indicator_3_6,indicator_3_7,indicator_3_8,indicatoroverall_3,indicator_4_1,indicator_4_2,indicator_4_3,indicator_4_4,indicator_4_5,indicator_4_6,indicator_4_7,indicatoroverall_4,indicator_5_1,indicator_5_2,indicator_5_3,indicator_5_4,indicator_5_5,indicator_5_6,indicator_5_7,indicatoroverall_5
604,K095,2006-07-01T00:00:00.000,2007-01-22T00:00:00.000,P,P,U,U,U,No Data,No Data,No Data,U,P,U,P,U,P,No Data,No Data,P,P,P,P,P,P,P,P,P,P,P,WD,P,P,WD,P,P,P,P,U,U,P,No Data,No Data,No Data,U
605,K141,2006-07-01T00:00:00.000,2007-01-22T00:00:00.000,WD,WD,P,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,P,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
606,K225,2006-07-01T00:00:00.000,2007-01-22T00:00:00.000,P,WD,P,P,P,No Data,No Data,No Data,P,WD,P,P,WD,P,No Data,No Data,P,P,P,WD,WD,WD,P,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,No Data,No Data,WD
607,K288,2006-07-01T00:00:00.000,2007-01-22T00:00:00.000,U,P,P,P,U,No Data,No Data,No Data,P,P,P,P,U,U,No Data,No Data,P,P,U,P,U,P,U,P,P,U,U,P,P,U,P,P,P,P,U,P,U,U,No Data,No Data,No Data,U
608,M006,2006-07-01T00:00:00.000,2007-01-22T00:00:00.000,P,P,P,U,P,No Data,No Data,No Data,P,P,U,P,P,U,No Data,No Data,P,P,U,P,P,P,P,U,P,P,P,P,P,U,WD,WD,P,P,U,U,U,U,No Data,No Data,No Data,U
609,M013,2006-07-01T00:00:00.000,2007-01-22T00:00:00.000,U,P,P,P,P,No Data,No Data,No Data,P,U,U,P,P,P,No Data,No Data,U,U,U,P,P,P,P,P,P,U,P,P,P,P,WD,WD,P,P,U,P,U,P,No Data,No Data,No Data,U
610,M131,2006-07-01T00:00:00.000,2007-01-22T00:00:00.000,WD,WD,WD,P,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
611,M167,2006-07-01T00:00:00.000,2007-01-22T00:00:00.000,WD,WD,WD,WD,P,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,No Data,No Data,WD
612,M169,2006-07-01T00:00:00.000,2007-01-22T00:00:00.000,WD,WD,U,P,P,No Data,No Data,No Data,P,WD,P,WD,WD,WD,No Data,No Data,WD,P,P,WD,WD,P,WD,WD,WD,WD,P,P,WD,WD,WD,WD,WD,WD,P,P,WD,P,No Data,No Data,No Data,P
613,M217,2006-07-01T00:00:00.000,2007-01-22T00:00:00.000,U,P,U,U,U,No Data,No Data,No Data,U,U,U,P,P,U,No Data,No Data,U,P,U,P,P,U,P,P,P,P,U,P,P,U,P,P,P,P,U,U,P,U,No Data,No Data,No Data,U
614,Q993,2006-07-01T00:00:00.000,2007-01-22T00:00:00.000,WD,WD,WD,WD,P,No Data,No Data,No Data,WD,P,WD,WD,WD,P,No Data,No Data,WD,WD,P,WD,P,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,No Data,No Data,No Data,WD
615,M034,2006-07-01T00:00:00.000,2007-01-23T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,WD,P,P,No Data,No Data,P,WD,P,WD,WD,WD,P,WD,P,P,P,P,P,P,WD,WD,P,P,P,P,P,P,No Data,No Data,No Data,P
616,M057,2006-07-01T00:00:00.000,2007-01-23T00:00:00.000,P,WD,WD,WD,WD,No Data,No Data,No Data,WD,P,P,P,WD,WD,No Data,No Data,P,P,P,WD,WD,WD,P,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
617,M101,2006-07-01T00:00:00.000,2007-01-23T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,WD,WD,P,WD,No Data,No Data,P,P,P,WD,WD,WD,P,WD,WD,P,P,P,P,P,WD,WD,U,P,P,WD,P,P,No Data,No Data,No Data,P
618,M111,2006-07-01T00:00:00.000,2007-01-23T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,P,P,P,P,WD,P,P,P,P,P,P,WD,WD,WD,P,P,P,P,P,No Data,No Data,No Data,P
619,M126,2006-07-01T00:00:00.000,2007-01-23T00:00:00.000,P,WD,P,P,P,No Data,No Data,No Data,P,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,P,WD,WD,P,P,WD,WD,P,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
